topology,action_name,count
abilene,EMERGENCY,1871
abilene,OPTIMIZE_K30,21
abilene,OPTIMIZE_K40,124
cernet,KEEP_PREVIOUS_ROUTING,8
cernet,OPTIMIZE_K10,57
cernet,OPTIMIZE_K20,131
cernet,OPTIMIZE_K30,4
ebone,OPTIMIZE_K10,43
ebone,OPTIMIZE_K50,157
geant,EMERGENCY,175
geant,OPTIMIZE_K40,27
geant,OPTIMIZE_K50,470
germany50,EMERGENCY,13
germany50,OPTIMIZE_K20,275
sprintlink,EMERGENCY,51
sprintlink,KEEP_PREVIOUS_ROUTING,123
sprintlink,OPTIMIZE_K40,1
sprintlink,OPTIMIZE_K50,25
tiscali,EMERGENCY,32
tiscali,KEEP_PREVIOUS_ROUTING,136
tiscali,OPTIMIZE_K50,32
vtlwavenet2011,OPTIMIZE_K20,40
