epoch,acc
1,0.4065
2,0.5263
3,0.5496
4,0.5285
5,0.5667
6,0.5503
7,0.5704
8,0.5818
9,0.5722
10,0.5747
11,0.5578
12,0.5682
13,0.5689
14,0.5799
15,0.5858
16,0.5962
17,0.5707
18,0.567
19,0.5682
20,0.588
21,0.5774
22,0.5883
23,0.5804
24,0.5751
25,0.5786
26,0.5737
27,0.5801
28,0.5756
29,0.5947
30,0.5759
31,0.5685
32,0.5873
33,0.6024
34,0.5987
35,0.5928
36,0.589
37,0.6019
38,0.5947
39,0.5908
40,0.5942
41,0.6
42,0.6002
43,0.6158
44,0.6086
45,0.598
46,0.6074
47,0.63
48,0.622
49,0.6064
50,0.5925
51,0.6126
52,0.6168
53,0.6096
54,0.6347
55,0.6208
56,0.6081
57,0.6287
58,0.6181
59,0.6424
60,0.6116
61,0.6248
62,0.6213
63,0.6215
64,0.6324
65,0.6357
66,0.6339
67,0.6436
68,0.6436
69,0.623
70,0.6272
71,0.624
72,0.6406
73,0.6347
74,0.6461
75,0.6228
76,0.6468
77,0.6287
78,0.629
79,0.6153
80,0.6354
81,0.6307
82,0.6414
83,0.6357
84,0.6183
85,0.6317
86,0.6357
87,0.6443
88,0.6481
89,0.624
90,0.6431
91,0.6513
92,0.6505
93,0.6248
94,0.6401
95,0.6396
96,0.6429
97,0.6327
98,0.6362
99,0.6396
100,0.656
101,0.629
102,0.6329
103,0.6416
104,0.6476
105,0.6453
106,0.6515
107,0.6498
108,0.6434
109,0.6431
110,0.6523
111,0.6476
112,0.6523
113,0.6471
114,0.6533
115,0.6513
116,0.6587
117,0.6528
118,0.6493
119,0.6505
120,0.6488
121,0.6595
122,0.6505
123,0.6441
124,0.6493
125,0.651
126,0.6347
127,0.6327
128,0.6386
129,0.6133
130,0.6548
131,0.6562
132,0.6421
133,0.6503
134,0.6478
135,0.6533
136,0.6498
137,0.6476
138,0.6687
139,0.6625
140,0.6486
141,0.6491
142,0.6438
143,0.6565
144,0.6471
145,0.6483
146,0.6493
147,0.6525
148,0.659
149,0.6461
150,0.6587
151,0.6647
152,0.658
153,0.6649
154,0.651
155,0.6706
156,0.6682
157,0.6664
158,0.6612
159,0.6582
160,0.6672
161,0.6654
162,0.6711
163,0.6438
164,0.6644
165,0.6746
166,0.6513
167,0.6456
168,0.6436
169,0.6682
170,0.656
171,0.6525
172,0.6689
173,0.6729
174,0.652
175,0.6682
176,0.6704
177,0.6518
178,0.6682
179,0.6716
180,0.6763
181,0.6674
182,0.6421
183,0.6652
184,0.66
185,0.6689
186,0.6744
187,0.6652
188,0.6691
189,0.6689
190,0.6672
191,0.6647
192,0.6763
193,0.6664
194,0.6548
195,0.6801
196,0.6788
197,0.6739
198,0.6689
199,0.6689
200,0.6761
201,0.6818
202,0.6768
203,0.6734
204,0.6721
205,0.6776
206,0.6674
207,0.6647
208,0.6793
209,0.6637
210,0.687
211,0.6803
212,0.6848
213,0.6587
214,0.6478
215,0.6602
216,0.6813
217,0.6803
218,0.6811
219,0.6835
220,0.6749
221,0.6813
222,0.6788
223,0.6806
224,0.6944
225,0.6863
226,0.6761
227,0.6858
228,0.6907
229,0.685
230,0.6855
231,0.6808
232,0.6907
233,0.6778
234,0.6845
235,0.6887
236,0.684
237,0.6843
238,0.6949
239,0.6895
240,0.6912
241,0.6954
242,0.685
243,0.6768
244,0.686
245,0.6925
246,0.6823
247,0.6803
248,0.6962
249,0.6892
250,0.6734
251,0.6751
252,0.683
253,0.6937
254,0.6875
255,0.6999
256,0.686
257,0.7014
258,0.6917
259,0.6972
260,0.689
261,0.6811
262,0.6944
263,0.7153
264,0.6905
265,0.6942
266,0.6935
267,0.7016
268,0.688
269,0.6949
270,0.6999
271,0.7093
272,0.6912
273,0.6987
274,0.713
275,0.6984
276,0.7049
277,0.6927
278,0.6977
279,0.6949
280,0.7036
281,0.6808
282,0.7034
283,0.7001
284,0.6937
285,0.7019
286,0.6964
287,0.6984
288,0.6684
289,0.6959
290,0.721
291,0.6932
292,0.7086
293,0.7044
294,0.7046
295,0.7259
296,0.7054
297,0.7088
298,0.7051
299,0.6887
300,0.7297
301,0.7259
302,0.7145
303,0.7272
304,0.716
305,0.7138
306,0.7056
307,0.7287
308,0.7076
309,0.7031
310,0.7118
311,0.7254
312,0.7081
313,0.7118
314,0.7259
315,0.7309
316,0.7135
317,0.7165
318,0.7225
319,0.7091
320,0.7269
321,0.7188
322,0.7433
323,0.725
324,0.7051
325,0.7101
326,0.7158
327,0.7321
328,0.7316
329,0.7068
330,0.6987
331,0.7386
332,0.7279
333,0.7165
334,0.7021
335,0.717
336,0.7411
337,0.7175
338,0.7252
339,0.7426
340,0.746
341,0.7178
342,0.7272
343,0.7378
344,0.7378
345,0.7274
346,0.7475
347,0.7393
348,0.7217
349,0.7378
350,0.7428
351,0.747
352,0.7423
353,0.7299
