action,emergency_budget_type,emergency_budget_pct,emergency_cap,paths_used_in_lp,path_library_k,cycle,selected_od_count,active_od_count,PR,MLU,DB,decision_ms,exceeds_literal_K50_condition,all_od_lp_used,selected_od_lp_used,nonselected_policy,gnn_lpd_used,dqn_used_at_inference,rf_used_at_inference
EMERGENCY,percentage,60,2000,3,8,0,793,1321,0.4993305724961527,21.424888158211218,0.1,317.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,1,800,1332,0.9515772178377595,11.702167934444335,0.10000000000000002,171.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,2,810,1349,0.998711493374441,10.41665354264237,0.0322295675233207,165.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,3,797,1327,0.9982250688061707,10.898957715117575,0.008005683979633594,159.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,4,782,1302,0.9986398440024835,10.173634746145613,0.008325933463944744,160.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,5,790,1316,0.9988498396370045,10.187144610360683,0.012883589637266888,377.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,6,780,1299,0.9987162173663727,10.13466931125795,0.004525251239151362,184.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,7,788,1312,0.9987137786202491,9.81880694668294,0.013175233632766424,174.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,8,760,1266,0.9983355355570833,9.774979902769827,0.014301828160691487,166.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,9,778,1296,0.9986808265340645,9.226251531443468,0.007689607596519625,326.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,10,768,1280,0.998803788558335,9.223452931288275,0.006814325450494225,163.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,11,762,1269,0.9990780399282184,9.551342186070226,0.0054970169017450115,158.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,12,471,785,0.9990706914918364,6.263847562539733,0.055085022716289345,108.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,13,763,1271,0.9984086581206463,11.110327950287097,0.08501349876247224,156.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,14,758,1263,0.9988942159501208,9.17959236934502,0.01899230496899267,356.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,15,753,1255,0.9985476970358574,9.414742448564938,0.006900627252041044,166.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,16,761,1267,0.9987367071388557,9.044085245139684,0.00971509083200705,158.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,17,765,1274,0.9984821551988639,9.470605569913285,0.011942661681829801,194.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,18,757,1261,0.99814591804489,8.944295113413666,0.008445681734952559,183.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,19,763,1271,0.9988007477172436,8.77221509598569,0.00981119961726698,385.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,20,753,1254,0.9986501171408735,8.894125805725242,0.020781287188754455,159.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,21,778,1296,0.998528450182174,8.7246875154954,0.013174822699938164,169.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,22,751,1251,0.9986272931244577,8.35793419282303,0.010186680985264982,181.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,23,763,1271,0.9987900824290336,8.95645720305924,0.009505686836490198,174.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,24,768,1280,0.9989705972113264,9.345582536892303,0.005027724261527755,365.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,25,757,1261,0.9986167843154465,8.937258658027051,0.008092668086374991,194.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,26,761,1267,0.9987615878124566,9.038842352218833,0.008289451518932957,175.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,27,762,1270,0.9987415695532403,8.98876979624389,0.003398982897408962,193.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,28,764,1273,0.9986775787730935,9.268517561620973,0.01361048735945716,342.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,29,764,1272,0.9983211871928035,9.564490844965206,0.0050772451040248905,163.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,30,754,1256,0.9984335305088642,8.914873967663485,0.003445436909635311,180.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,31,741,1234,0.9980295003885363,8.806375910557977,0.004087823403872544,155.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,32,737,1228,0.9982277350746243,8.341038648138749,0.010524816702222413,149.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,33,747,1245,0.9980928277182392,8.416645377598993,0.002763522847484198,322.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,34,734,1223,0.9984473083919965,8.262315000805414,0.006772896753404863,153.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,35,743,1237,0.9981777733771684,8.642652096861658,0.01123516741780739,154.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,36,795,1324,0.9986117688105364,8.775434668566216,0.013101669010685643,154.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,37,791,1318,0.9984645117321759,8.618661862779035,0.01054337054902935,148.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,38,769,1281,0.9984120938247398,8.700712802250496,0.006210668598517737,273.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,39,767,1277,0.9979632534472094,8.716333512018071,0.003542776555011429,147.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,40,759,1265,0.9979411094798655,8.673442668011505,0.006129066572566356,144.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,41,740,1232,0.998089286467847,8.642729600724001,0.018411621989863236,143.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,42,753,1255,0.9986994439203973,8.349176906555945,0.013315515912511533,143.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,43,726,1209,0.9983631330691205,8.470846210103085,0.005509606978820718,197.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,44,726,1209,0.9985986407790193,8.706049735233703,0.011850542551433802,139.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,45,743,1237,0.9983516490957112,8.642695945352944,0.00334864271953394,138.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,46,726,1210,0.9986894971993862,8.153386969805656,0.009116641577943846,140.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,47,726,1209,0.9984332344001513,8.29424014406528,0.006570982783177942,138.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,48,745,1241,0.9988780341175695,7.955035145696392,0.011995898149870055,208.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,49,748,1246,0.9985913644281592,8.201957925768102,0.017261334262740218,140.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,50,731,1218,0.998543255305972,8.48182394700169,0.01800533739681923,139.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,51,720,1199,0.9983772601877401,8.864755570968146,0.017793748353379667,136.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,52,734,1223,0.9988204686259139,7.90449601059986,0.015310315785643942,138.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,53,725,1208,0.998514122059897,7.69388849255556,0.00707329066182981,192.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,54,728,1212,0.9982646997456175,7.509165662747785,0.006199119973586342,136.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,55,755,1257,0.9981909701780081,7.505521668695238,0.006505897182376659,139.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,56,728,1212,0.9982483790576329,7.16566939865862,0.006053576224159306,139.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,57,726,1209,0.9983067598907945,7.302017413750789,0.009277462317297123,138.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,58,720,1199,0.9980357292178592,7.405135731059277,0.0013892900414480347,192.4,True,0,1,ECMP,1,1,0
