emergency_budget_pct,emergency_cap,paths_used_in_lp,selected_od_count,Mean_PR,Min_PR,PR_ge_0999_frac,Mean_DB,P95_DB,Mean_decision_ms,P95_decision_ms,Max_decision_ms,FlexDATE_PR_win,FlexDATE_DB_win,Mean_under_500,all_od_lp_used,nonselected_policy
60,2000,3,810,0.9894,0.4993,0.033,0.0147,0.0566,218.5,357.0,440.3,True,False,True,0,ECMP
50,2000,3,675,0.9896,0.4993,0.017,0.0153,0.0515,232.3,385.1,548.2,True,False,True,0,ECMP
80,2000,3,1080,0.9894,0.4993,0.333,0.0148,0.0677,292.8,471.8,558.6,True,False,True,0,ECMP
70,2000,3,945,0.9892,0.4993,0.083,0.015,0.0556,297.7,456.5,559.9,True,False,True,0,ECMP
50,2000,4,675,0.9896,0.5019,0.017,0.0142,0.0487,300.8,539.0,1008.8,True,False,True,0,ECMP
60,2000,4,810,0.9897,0.5019,0.033,0.0138,0.0435,317.1,527.1,640.4,True,False,True,0,ECMP
75,2000,3,1012,0.9895,0.4993,0.167,0.0135,0.0425,344.2,621.2,1324.3,True,False,True,0,ECMP
80,2000,4,1080,0.989,0.5019,0.333,0.0146,0.0685,375.5,597.3,713.8,True,False,True,0,ECMP
70,2000,4,945,0.9887,0.5019,0.083,0.0141,0.0772,401.4,736.3,1157.1,True,False,True,0,ECMP
75,2000,4,1012,0.99,0.5019,0.167,0.015,0.0694,449.4,758.1,807.2,True,False,True,0,ECMP
