action,emergency_budget_type,emergency_budget_pct,emergency_cap,paths_used_in_lp,path_library_k,cycle,selected_od_count,active_od_count,PR,MLU,DB,decision_ms,exceeds_literal_K50_condition,all_od_lp_used,selected_od_lp_used,nonselected_policy,gnn_lpd_used,dqn_used_at_inference,rf_used_at_inference
EMERGENCY,percentage,75,1400,3,8,200,1400,1892,1.0,0.8511664845361205,0.027330077763747154,314.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,201,1400,1892,1.0,0.8518953011640925,0.0006191484501445646,232.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,202,1400,1892,1.0,0.8469382142997866,0.0008844261837582792,284.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,203,1400,1892,0.9999999999999999,0.8512529223126716,0.0005846014377342589,254.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,204,1400,1892,1.0,0.8477464857293305,0.0013347051078395555,243.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,205,1400,1892,1.0,0.8496946661217165,0.00035498905114635766,338.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,206,1400,1892,1.0,0.8446408379689694,0.0003333784237356636,239.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,207,1400,1892,1.0,0.8453019106222813,0.0004197502186782413,292.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,208,1400,1892,1.0,0.8478341864032789,0.0004692842392072847,233.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,209,1400,1892,0.9999999999999998,0.8361398761665882,0.00019173446829008598,289.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,210,1400,1892,1.0,0.8621514679353607,0.0006003874727403155,233.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,211,1400,1892,1.0,0.8630683223642939,0.00039263488585227494,232.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,212,1400,1892,0.9999999999999999,0.862891682693145,0.00045805359789301124,283.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,213,1400,1892,1.0,0.8614390070039732,3.3678632510195816e-05,230.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,214,1400,1892,1.0,0.8766350872293627,2.8737376801070376e-05,298.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,215,1400,1892,1.0,0.8771974501695533,0.0002301673770348148,250.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,216,1400,1892,1.0,0.8669013571784152,0.00032093648786778834,371.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,217,1400,1892,1.0,0.878618874846486,0.00010915732378006135,229.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,218,1400,1892,0.9999999999999999,0.8801370666325202,0.0003096349153822766,283.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,219,1400,1892,1.0,0.8689895676413738,0.00016320656364073806,228.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,220,1400,1892,0.9999999999999999,0.8921991252191586,0.0004959954190564473,231.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,221,1400,1892,1.0,0.9029089549369257,0.00023202730221197722,285.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,222,1400,1892,0.9962254316427132,0.8855891227329687,0.000536845318404282,228.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,223,1400,1892,1.0,0.8868679096307147,0.00046439082129237186,286.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,224,1400,1892,0.9999999999999998,0.9001416518489609,0.00016058433122085233,231.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,225,1400,1892,0.9999999999999999,0.8707041634784448,2.5781592272506757e-06,326.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,226,1400,1892,0.9999999999999998,0.8777018102908004,2.7671368841595985e-05,237.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,227,1400,1892,0.9959468679542761,0.8823438621282904,0.0005084625794636533,289.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,228,1400,1892,1.0,0.8692956322146643,0.00044956210924366737,230.0,True,0,1,ECMP,1,1,0
