emergency_budget_pct,emergency_cap,paths_used_in_lp,selected_od_count,Mean_PR,Min_PR,PR_ge_0999_frac,Mean_DB,P95_DB,Mean_decision_ms,P95_decision_ms,Max_decision_ms,FlexDATE_PR_win,FlexDATE_DB_win,Mean_under_500,all_od_lp_used,nonselected_policy
30,1000,3,568,0.9765,0.9651,0.0,0.0017,0.0023,147.7,195.0,260.4,False,True,True,0,ECMP
30,1400,3,568,0.9765,0.9651,0.0,0.0017,0.0023,150.3,201.0,289.0,False,True,True,0,ECMP
35,1400,3,663,0.9825,0.9719,0.0,0.0017,0.0026,151.9,193.6,255.3,False,True,True,0,ECMP
30,1200,3,568,0.9765,0.9651,0.0,0.0017,0.0023,166.5,254.4,418.1,False,True,True,0,ECMP
35,800,3,663,0.9825,0.9719,0.0,0.0017,0.0026,168.6,212.5,303.3,False,True,True,0,ECMP
35,1000,3,663,0.9825,0.9719,0.0,0.0017,0.0026,169.4,230.5,281.3,False,True,True,0,ECMP
40,800,3,757,0.9872,0.9755,0.0,0.0014,0.002,171.4,217.9,291.8,False,True,True,0,ECMP
40,1200,3,757,0.9872,0.9755,0.0,0.0014,0.002,174.5,221.2,253.1,False,True,True,0,ECMP
35,1200,3,663,0.9825,0.9719,0.0,0.0017,0.0026,176.5,257.3,276.5,False,True,True,0,ECMP
30,800,3,568,0.9765,0.9651,0.0,0.0017,0.0023,177.5,257.0,403.9,False,True,True,0,ECMP
40,1400,3,757,0.9872,0.9755,0.0,0.0014,0.002,177.7,231.6,324.4,False,True,True,0,ECMP
40,1000,3,757,0.9872,0.9755,0.0,0.0014,0.002,177.9,226.3,282.7,False,True,True,0,ECMP
30,1000,4,568,0.9765,0.9651,0.0,0.0017,0.0026,179.5,224.6,282.4,False,True,True,0,ECMP
30,1200,4,568,0.9765,0.9651,0.0,0.0017,0.0026,188.7,259.5,305.4,False,True,True,0,ECMP
45,800,3,800,0.9889,0.9784,0.0,0.0014,0.0019,189.0,232.2,323.8,False,True,True,0,ECMP
35,1400,4,663,0.9825,0.9719,0.0,0.0018,0.0028,190.5,234.9,264.2,False,True,True,0,ECMP
30,1400,4,568,0.9765,0.9651,0.0,0.0017,0.0026,191.5,313.0,335.1,False,True,True,0,ECMP
50,800,3,800,0.9889,0.9784,0.0,0.0014,0.0019,191.8,252.3,312.8,False,True,True,0,ECMP
45,1000,3,852,0.9915,0.9784,0.0,0.0012,0.0018,193.0,247.7,321.4,False,True,True,0,ECMP
45,1200,3,852,0.9915,0.9784,0.0,0.0012,0.0018,193.3,235.2,318.7,False,True,True,0,ECMP
35,1200,4,663,0.9825,0.9719,0.0,0.0018,0.0028,202.1,245.4,440.5,False,True,True,0,ECMP
45,1400,3,852,0.9915,0.9784,0.0,0.0012,0.0018,202.4,252.2,348.2,False,True,True,0,ECMP
30,800,5,568,0.9765,0.9651,0.0,0.0019,0.0029,209.2,254.3,281.3,False,True,True,0,ECMP
35,800,4,663,0.9825,0.9719,0.0,0.0018,0.0028,210.0,289.4,371.3,False,True,True,0,ECMP
30,1000,5,568,0.9765,0.9651,0.0,0.0019,0.0029,214.6,276.4,306.9,False,True,True,0,ECMP
35,1000,4,663,0.9825,0.9719,0.0,0.0018,0.0028,215.3,293.1,341.8,False,True,True,0,ECMP
40,800,4,757,0.9872,0.9755,0.0,0.0015,0.002,217.6,257.9,352.6,False,True,True,0,ECMP
40,1200,4,757,0.9872,0.9755,0.0,0.0015,0.002,219.7,266.7,370.0,False,True,True,0,ECMP
30,1200,5,568,0.9765,0.9651,0.0,0.0019,0.0029,220.7,278.7,373.7,False,True,True,0,ECMP
35,1400,5,663,0.9825,0.9719,0.0,0.0017,0.0026,223.9,262.3,295.6,False,True,True,0,ECMP
30,1400,5,568,0.9765,0.9651,0.0,0.0019,0.0029,224.2,318.5,350.8,False,True,True,0,ECMP
40,1400,4,757,0.9872,0.9755,0.0,0.0015,0.002,224.8,280.5,370.3,False,True,True,0,ECMP
40,1000,4,757,0.9872,0.9755,0.0,0.0015,0.002,225.7,275.4,343.7,False,True,True,0,ECMP
30,800,4,568,0.9765,0.9651,0.0,0.0017,0.0026,228.5,358.4,402.8,False,True,True,0,ECMP
35,1200,5,663,0.9825,0.9719,0.0,0.0017,0.0026,231.7,275.7,321.4,False,True,True,0,ECMP
45,800,4,800,0.9889,0.9784,0.0,0.0013,0.002,240.0,332.6,384.9,False,True,True,0,ECMP
35,800,5,663,0.9825,0.9719,0.0,0.0017,0.0026,247.7,312.3,368.5,False,True,True,0,ECMP
45,1200,4,852,0.9915,0.9784,0.0,0.0012,0.0019,247.8,319.3,453.7,False,True,True,0,ECMP
45,1000,4,852,0.9915,0.9784,0.0,0.0012,0.0019,252.0,307.4,360.0,False,True,True,0,ECMP
50,1400,3,946,0.994,0.9852,0.133,0.0012,0.0016,252.0,377.6,479.5,False,True,True,0,ECMP
45,1400,4,852,0.9915,0.9784,0.0,0.0012,0.0019,254.8,368.0,385.6,False,True,True,0,ECMP
40,800,5,757,0.9872,0.9755,0.0,0.0016,0.0024,260.8,316.0,371.0,False,True,True,0,ECMP
