emergency_budget_pct,emergency_cap,paths_used_in_lp,selected_od_count,Mean_PR,Min_PR,PR_ge_0999_frac,Mean_DB,P95_DB,Mean_decision_ms,P95_decision_ms,Max_decision_ms,FlexDATE_PR_win,FlexDATE_DB_win,Mean_under_500,all_od_lp_used,nonselected_policy
60,2400,3,1412,0.9997,0.9924,0.933,0.0022,0.0053,420.7,568.8,640.4,True,True,True,0,ECMP
70,2400,3,1647,1.0,0.9979,0.983,0.0019,0.0055,515.0,684.6,703.4,True,True,False,0,ECMP
75,2400,3,1764,1.0,0.9979,0.983,0.0018,0.0039,629.4,876.9,1089.5,True,True,False,0,ECMP
85,2400,3,2000,1.0,1.0,1.0,0.0016,0.0045,654.6,865.6,981.2,True,True,False,0,ECMP
60,2400,4,1412,0.9997,0.9924,0.933,0.0021,0.004,690.2,920.4,983.6,True,True,False,0,ECMP
80,2400,3,1882,1.0,0.9979,0.983,0.0017,0.0048,780.9,1115.5,1572.7,True,True,False,0,ECMP
70,2400,4,1647,1.0,0.9979,0.983,0.0019,0.0046,903.2,1266.9,1475.2,True,True,False,0,ECMP
75,2400,4,1764,1.0,0.9979,0.983,0.0018,0.0044,1010.8,1318.8,1812.8,True,True,False,0,ECMP
90,2400,3,2117,1.0,1.0,1.0,0.0017,0.0046,1132.2,1758.7,2708.7,True,True,False,0,ECMP
80,2400,4,1882,1.0,0.9979,0.983,0.0018,0.0041,1427.8,2099.8,3631.1,True,True,False,0,ECMP
85,2400,4,2000,1.0,1.0,1.0,0.0016,0.0044,1468.1,2213.1,2967.0,True,True,False,0,ECMP
90,2400,4,2117,1.0,1.0,1.0,0.0017,0.0046,2358.3,3591.9,4370.0,True,True,False,0,ECMP
