action,emergency_budget_type,emergency_budget_pct,emergency_cap,paths_used_in_lp,path_library_k,cycle,selected_od_count,active_od_count,PR,MLU,DB,decision_ms,exceeds_literal_K50_condition,all_od_lp_used,selected_od_lp_used,nonselected_policy,gnn_lpd_used,dqn_used_at_inference,rf_used_at_inference
EMERGENCY,percentage,60,2400,3,8,200,1412,2352,1.0,0.8463622423638533,0.023440458715084576,343.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,201,1412,2352,1.0,0.8488004065000853,0.0015451057400909206,301.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,202,1412,2352,1.0,0.8548373511360607,0.0010066340137863759,345.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,203,1412,2352,1.0,0.8384724709508331,0.0019487690809948507,330.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,204,1412,2352,1.0,0.8389156396389609,0.001633272613856094,291.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,205,1412,2352,1.0,0.8344528953562148,0.00189814639549469,367.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,206,1412,2352,1.0,0.8250100482767717,0.0009277896945571269,303.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,207,1412,2352,1.0,0.8177448471608909,0.002563533799016346,361.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,208,1412,2352,0.9923521462249574,0.8245243631966933,0.00179208317828117,314.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,209,1412,2352,1.0,0.8279169385313397,0.0017614559090394907,368.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,210,1412,2352,1.0,0.8279253414337597,0.0022297743157293284,319.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,211,1412,2352,1.0,0.8254445627820745,0.0018534980807558893,344.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,212,1412,2352,1.0,0.8301542543109375,0.0012435506735991185,436.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,213,1412,2352,1.0,0.8109565255700221,0.004059575872459243,350.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,214,1412,2352,1.0,0.8091307228583924,0.0028137345868421934,410.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,215,1412,2352,1.0,0.8205756701252425,0.001702367737815782,327.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,216,1412,2352,0.9999999999999999,0.8075183236003562,0.0029205822899009202,455.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,217,1412,2352,0.9983090657954808,0.801200225447214,0.002226938910509502,532.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,218,1412,2352,0.9958180110856817,0.7954081265186919,0.005307681393344147,458.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,219,1412,2352,0.9943447704543559,0.8027597897204021,0.0011962486135969742,488.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,220,1412,2352,1.0,0.7943475614503416,0.001034994514710394,353.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,221,1412,2352,1.0,0.777735016941817,0.002373393782838721,450.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,222,1412,2352,0.9999999999999996,0.776285166123741,0.0013399023914966533,402.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,223,1412,2352,1.0,0.7558114825993791,0.006578598773723423,472.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,224,1412,2352,1.0,0.7505935321910171,0.0016088526938444403,588.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,225,1412,2352,1.0,0.749433182456004,0.0004649857666394219,375.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,226,1412,2352,0.9999999999999997,0.7296641796706913,0.002709584939190323,535.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,227,1412,2352,1.0,0.7252311516159421,0.0009871273609062857,473.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,228,1412,2352,1.0,0.7193463918878666,0.0016867285232265454,610.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,229,1412,2352,1.0,0.698285824773187,0.0029463995303788985,428.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,230,1412,2352,1.0,0.6907918892435254,0.0015100601038880717,410.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,231,1412,2352,1.0,0.6727272250761618,0.005961152160518659,671.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,232,1412,2352,1.0,0.6778539958552114,0.0017324705502328927,485.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,233,1412,2352,1.0,0.6759382090593231,0.002606517281859401,619.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,234,1412,2352,1.0,0.6718843861584327,0.0030019338933468184,561.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,235,1412,2352,1.0,0.6681237241469072,0.0008332776083428235,460.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,236,1412,2352,1.0,0.6563936940846332,0.0026449589706276336,706.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,237,1412,2352,1.0,0.6574511928579826,0.0009293201861064188,451.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,238,1412,2352,1.0,0.6425747252174162,0.003077926197464359,577.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,239,1412,2352,1.0,0.6318543052015186,0.002027647937644996,535.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,240,1412,2352,1.0,0.6325017616468291,0.0012780851865489458,464.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,241,1412,2352,1.0,0.6239515767856635,0.0009634627907221845,691.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,242,1412,2352,1.0,0.617107772195741,0.00127183047283127,447.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,243,1412,2352,1.0,0.5987716805740172,0.0019386152631560136,525.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,244,1412,2352,1.0,0.586085530889331,0.0018447979486454248,399.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,245,1412,2352,1.0,0.5677385203487423,0.0030645345357138117,491.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,246,1412,2352,1.0,0.5718963528138477,0.0004792717471201942,450.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,247,1412,2352,1.0,0.5609155598967646,0.0005701326395278818,410.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,248,1412,2352,1.0,0.5443445055666516,0.0012467735713314972,513.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,249,1412,2352,1.0,0.5302609677010252,0.0002533200589610958,543.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,250,1412,2352,1.0,0.5128984513019763,0.0020100546887206125,609.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,251,1412,2352,1.0,0.5066186436188018,0.0004252407524139021,453.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,252,1412,2352,0.9999999999999999,0.48877882794224553,0.0010391271344685846,527.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,253,1412,2352,1.0,0.48551865367813646,0.00022109143299027127,654.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,254,1412,2352,1.0,0.4714885748264238,0.0016030087151715463,456.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,255,1412,2352,1.0,0.45743286251790305,0.0025603940225647865,699.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,256,1412,2352,1.0,0.46530504876420153,0.00040991061674837935,444.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,257,1412,2352,1.0,0.4575503236147846,0.000273794075602289,585.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,258,1412,2352,1.0,0.4553919653854633,0.000493728356228701,388.0,True,0,1,ECMP,1,1,0
