topology,action,count,fraction
abilene,EMERGENCY,1871,0.9281
abilene,OPTIMIZE_K40,124,0.0615
abilene,OPTIMIZE_K30,21,0.0104
geant,OPTIMIZE_K50,470,0.6994
geant,EMERGENCY,175,0.2604
geant,OPTIMIZE_K40,27,0.0402
cernet,OPTIMIZE_K20,131,0.655
cernet,OPTIMIZE_K10,57,0.285
cernet,KEEP_PREVIOUS_ROUTING,8,0.04
cernet,OPTIMIZE_K30,4,0.02
sprintlink,KEEP_PREVIOUS_ROUTING,123,0.615
sprintlink,EMERGENCY,51,0.255
sprintlink,OPTIMIZE_K50,25,0.125
sprintlink,OPTIMIZE_K40,1,0.005
tiscali,KEEP_PREVIOUS_ROUTING,136,0.68
tiscali,EMERGENCY,32,0.16
tiscali,OPTIMIZE_K50,32,0.16
ebone,OPTIMIZE_K50,157,0.785
ebone,OPTIMIZE_K10,43,0.215
germany50,OPTIMIZE_K20,275,0.9549
germany50,EMERGENCY,13,0.0451
vtlwavenet2011,OPTIMIZE_K20,40,1.0
