topology,scenario,N,mean_throughput_mbps,min_throughput_mbps,mean_packet_loss_pct,max_packet_loss_pct,mean_rtt_ms,p95_rtt_ms,mean_jitter_ms,p95_jitter_ms,mean_recovery_ms,p95_recovery_ms,mean_decision_ms,p95_decision_ms,mean_flow_rules,mean_install_ms,full_od_fallback_rate,disconnected_ODs,gnn_used_all,lpd_used_all,dqn_used_all,heuristic_any,audit_pass
abilene,capacity_degradation_50,10,6500.0,6500.0,0.0,0.0,42.0,42.0,2.5,2.5,43.6,47.8,43.6,47.8,1043.0,3.49,1.0,0,1,1,1,0,1
abilene,mixed_spike_failure,10,6500.0,6500.0,0.0,0.0,42.0,42.0,2.5,2.5,48.4,63.9,48.4,63.9,1043.0,3.87,1.0,0,1,1,1,0,1
abilene,normal,10,6500.0,6500.0,0.0,0.0,42.0,42.0,2.5,2.5,46.8,64.1,46.8,64.1,1043.0,3.74,1.0,0,1,1,1,0,1
abilene,single_link_failure,10,6500.0,6500.0,0.0,0.0,42.0,42.0,2.5,2.5,45.1,45.9,45.1,45.9,1043.0,3.61,1.0,0,1,1,1,0,1
abilene,spike_x3,10,6500.0,6500.0,0.0,0.0,42.0,42.0,2.5,2.5,43.5,47.8,43.5,47.8,1043.0,3.48,1.0,0,1,1,1,0,1
abilene,two_link_failure,10,6500.0,6500.0,0.0,0.0,42.0,42.0,2.5,2.5,41.5,42.4,41.5,42.4,1043.0,3.32,1.0,0,1,1,1,0,1
geant,capacity_degradation_50,10,6500.0,6500.0,0.0,0.0,38.0,38.0,4.0,4.0,295.9,326.4,295.9,326.4,3535.0,23.67,1.0,0,1,1,1,0,1
geant,mixed_spike_failure,10,6500.0,6500.0,0.0,0.0,38.4,38.68,4.0,4.0,279.9,310.5,279.9,310.5,3535.0,22.39,1.0,0,1,1,1,0,1
geant,normal,10,6500.0,6500.0,0.0,0.0,38.0,38.0,4.0,4.0,292.2,312.9,292.2,312.9,3535.0,23.38,1.0,0,1,1,1,0,1
geant,single_link_failure,10,6500.0,6500.0,0.0,0.0,38.0,38.0,4.0,4.0,281.1,303.2,281.1,303.2,3535.0,22.49,1.0,0,1,1,1,0,1
geant,spike_x3,10,6500.0,6500.0,0.0,0.0,38.0,38.0,4.0,4.0,291.8,312.9,291.8,312.9,3535.0,23.34,1.0,0,1,1,1,0,1
geant,two_link_failure,10,6500.0,6500.0,0.0,0.0,38.0,38.0,4.0,4.0,277.3,300.8,277.3,300.8,3535.0,22.19,1.0,0,1,1,1,0,1
